status,table,sku,from_path,to_path,source
unchanged,,"MP129-3",,"Stationery > School & Office > Books & Notebooks",
unchanged,,"MP129-2",,"Stationery > School & Office > Books & Notebooks",
unchanged,,"MP129-1",,"Stationery > School & Office > Books & Notebooks",
unchanged,,"86203-BLU",,"Stationery > School & Office > Books & Notebooks",
unchanged,,"86203-BRN",,"Stationery > School & Office > Books & Notebooks",
unchanged,,"86203-LBLU",,"Stationery > School & Office > Books & Notebooks",
unchanged,,"2081101",,"Stationery > School & Office > Writing & Correction > Pens and Pencils",
unchanged,,"SENPB-C",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"CHE11-BLK",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"SENPB-E",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"SENPB-F",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"SENPB-D",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"CHE11-RBRN",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"SENPB-A",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"SENPB-B",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PENBAG-M30",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0099",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0096",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0098",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0097",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0094",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0093",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0095",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0101",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0100",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"PEN-0033",,"Stationery > School & Office > Pencil Bags & Cases",
unchanged,,"8626200009",,"Stationery > School & Office > Hole Punch",
unchanged,,"8626200021",,"Stationery > School & Office > Stapling",
unchanged,,"MB001-2",,"Stationery > Educational",
unchanged,,"MB001-3",,"Stationery > Educational",
unchanged,,"MB001-5",,"Stationery > Educational",
unchanged,,"MB001-4",,"Stationery > Educational",
