sku,title,primary_path,mottaro_path,is_multi_category
MK002-2-YEL,"Motarro Correction Tape – Yellow","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MC001-2,"Motarro Paint Marker – Silver, 3mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MC007-2,"Motarro Textile Marker – Blue, 2-3mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP040-21,"Motarro Acrylic Paint – Ochre, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MU168-2,"Motarro Glow In The Dark Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME095-F,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME035-9,"Motarro Air Clay – Light Orange, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MI044-50,"Motarro 50cm Ruler","Stationery > School & Office > Measuring & Viewing","mottaro > mottaro-school-office > mottaro-measuring-viewing",yes
MU156-1,"Motarro Carbon Paper – A4, Blue, 210x297cm, 10 Sheets","Stationery > School & Office > Colour Paper and Boards","mottaro > mottaro-school-office > mottaro-colour-paper-boards",yes
MP065,"Motarro Easel – 40cm","Arts and Crafts > Art Supplies > Easels","mottaro > mottaro-art-supplies > mottaro-easels",yes
MU168-7,"Motarro Glow In The Dark Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MQ009-4,"Motarro Colour File Dividers – 1 To 31","Stationery > School & Office > Filing & Organisation","mottaro > mottaro-school-office > mottaro-filing-organisation",yes
MC008-13,"Motarro Ballpoint Pen – Assorted, 1.0mm, 12 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MI007-1,"Motarro Desk Organiser – Black, 14x17.5x7.5cm","Stationery > School & Office > Desk Organisers","mottaro > mottaro-school-office > mottaro-desk-organisers",yes
MU169-6,"Motarro Glitter Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MC107-2,"Motarro Gel Pen – Sea Life, 0.7mm","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MI027-3-BLK,"Motarro Deposit Box – Black, 8.5x20x16cm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MP169-2,"MOTARRO ACRYLIC FLUORESCENT PAINT 75ML","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP130-26,"Motarro Canvas Stretch 60x90cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
ME046-15,"Motarro Assorted Stamps – Numbers, 25mm, 10 pcs","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MC001-1,"Motarro Paint Marker – Gold, 3mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
ME046-8,"Motarro Assorted Stamps – 25mm, 6 pcs","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MQ029-BLU,"Motarro Expanding File – A4, Blue","Stationery > School & Office > Filing & Organisation","mottaro > mottaro-school-office > mottaro-filing-organisation",yes
MP169-2-YEL,"Motarro Acrylic Paint – Fluorescent, Yellow, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MU289-8,"Motarro Craft Stickers – Sea Life","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MB001-4,"Motarro Didactic Electric Kit – 8 pcs","Stationery > Educational","mottaro > mottaro-educational",yes
MP155-3,"Motarro Canvas Stretch With Tripod – 10x10cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MU169-7,"Motarro Glitter Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME095-J,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MI022-2-BLK,"Motarro Staple Remover – Black","Stationery > School & Office","mottaro > mottaro-school-office",yes
MP068,"Motarro Easel – 90cm","Arts and Crafts > Art Supplies > Easels","mottaro > mottaro-art-supplies > mottaro-easels",yes
