sku,from_path,to_path
"S-0019DPNK","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"0020-BRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"860017-PNK","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"TBAGW1-TAN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"SENSLIM-TAN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"PUR-0076","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"COS-0052D","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"TBAG95S-TAN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"COS-0060","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper","Textiles > Ribbon & Trim"
"PK-0108","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-08","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0084","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0101S","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0115","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0080","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0092","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"0005-GRY","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"0011-LTAU","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"PUR-0084","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"SENLB-DBRN","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"TBAG91-DBRN","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"S-007LPNKA","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"PUR-0077","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"COS-0063","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"TBAG58-TAN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"TBAGB-TAN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"0011-GRN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"MARK2-TAN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"TBAGB-DBRN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"S-0019LPNK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"MB-003BLU","Fashion & Accessories > Synthetic Bags > Small Accessories","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"860010-RED","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"STYH-0007","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200095-GRN","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200097-MLT","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"3004-BRN-30T","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"RD-GRY-0033","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200004-NAT","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"0030-BLK-32","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"TBAG5-TAN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"PUR-0074","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"COS-0028","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"MB-003PNK","Fashion & Accessories > Synthetic Bags > Small Accessories","Packaging & Storage > Jewellery Bags > Cotton"
"860017-BRN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"BB-002BLK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"COS-0003PNK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"8616200004-WHT","Packaging & Storage > Tags","Jewellery > Jewellery > Necklaces > Earth Stones"
"8616200098-NAT","Packaging & Storage > Tags","Jewellery > Jewellery > Necklaces > Earth Stones"
"COS-0057","Fashion & Accessories > Synthetic Bags > Small Accessories","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"8616200110-BLK","Packaging & Storage > Tags","Jewellery > Jewellery > Earrings > Earth Stones"
"8616200053W-WHT","Packaging & Storage > Tags","Jewellery > Findings > Rings"
"8616200094-WHT","Packaging & Storage > Tags","Electronics & Accessories > Clocks & Watches > Watches"
