sku,barcode,title,category,subcategory_one,subcategory_two,price,stock_qty,available_stock,created_at
"BBP-B-250","BBP250ML","BLACKBOARD PAINT | 50ml (BBP250ML)","Arts and Crafts","Art Supplies","Paints","69","6","6","2026-06-29T20:10:23.511234+00:00"
"CP-1","CP1L","CRAFT PAINT | 1 LITRE TUB (CP1L)","Arts and Crafts","Art Supplies","Paints","190","112","88","2026-06-29T19:40:47.894295+00:00"
"CP-250","CP250ML","CRAFT PAINT | 250ml TUB (CP250ML)","Arts and Crafts","Art Supplies","Paints","58","1100","1097","2026-06-29T19:40:47.661897+00:00"
"CP-50","CP50ML","CRAFT PAINT | 50ml TUB (CP50ML)","Arts and Crafts","Art Supplies","Paints","16.5","3058","2941","2026-06-29T19:40:47.419728+00:00"
"CCC50-21","C50","CRAZY CRAFTY CLAY | BEIGE - COL 21 | 50g (C50)","Arts and Crafts","Art Supplies","Sculpting & Moulding","9.5","4","4","2026-06-29T20:02:48.257137+00:00"
"CCC50-24","C50","CRAZY CRAFTY CLAY | BLACK - COL 24 | 50g (C50)","Arts and Crafts","Art Supplies","Sculpting & Moulding","9.5","4","4","2026-06-29T20:02:48.730439+00:00"
"C50TU-14","C50","CRAZY CRAFTY CLAY | BLUE - COL 14 | 50g (C50)","Arts and Crafts","Art Supplies","Sculpting & Moulding","9.5","4","4","2026-06-29T20:02:46.093447+00:00"
"C50BO-19","C50","CRAZY CRAFTY CLAY | BRIGHT ORANGE - COL 19 | 50g (C50)","Arts and Crafts","Art Supplies","Sculpting & Moulding","9.5","4","4","2026-06-29T20:02:43.795474+00:00"
"C50BP-6","C50","CRAZY CRAFTY CLAY | BRIGHT PINK - COL 6 | 50g (C50)","Arts and Crafts","Art Supplies","Sculpting & Moulding","9.5","4","4","2026-06-29T20:02:46.85227+00:00"
"CCC50-22","C50","CRAZY CRAFTY CLAY | BROWN - COL 22 | 50g (C50)","Arts and Crafts","Art Supplies","Sculpting & Moulding","9.5","4","4","2026-06-29T20:02:48.024086+00:00"
"C50CE-17","C50","CRAZY CRAFTY CLAY | CERISE - COL 17 | 50g (C50)","Arts and Crafts","Art Supplies","Sculpting & Moulding","9.5","4","4","2026-06-29T20:02:46.578306+00:00"
